name,id,code,shortName,description,formName,domainType,valueType,aggregationoperator,categoryCombo.id,optionSet.id,class,Inverse
[GC7/H-KRCS/COMMIT/FINANCE] PR Commitments,JEYXa5x711c,GC7/H-KRCS/COMMIT/FINANCE,GC7/H-KRCS/COMMIT/FINANCE,PR Commitments,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,,Programmes PR,No
[GC7/H-KRCS/CONDOMS-AMC/RESULT/COMMODITIES] Condoms AMC,aFK6b288CDm,GC7/H-KRCS/CONDOMS-AMC/RESULT/COMMODITIES,GC7/H-KRCS/CONDOMS-AMC/RESULT/COMMODITIES,Condoms AMC,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,,Programmes PR,No
[GC7/H-KRCS/CONDOMS-BAL/RESULT/COMMODITIES] Condoms Ending Balance,vwtiyqGtRMc,GC7/H-KRCS/CONDOMS-BAL/RESULT/COMMODITIES,GC7/H-KRCS/CONDOMS-BAL/RESULT/COMMODITIES,Condoms Ending Balance,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,,Programmes PR,No
[GC7/H-KRCS/CONDOMS-COMMENT/COMMENT/COMMODITIES] Condoms Comments,SXhkiEjXkox,GC7/H-KRCS/CONDOMS-COMMENT/COMMENT/COMMODITIES,GC7/H-KRCS/CONDOMS-COMMENT/COMMENT/COMMODITIES,Condoms Comments,LONG_TEXT,AGGREGATE,LONG_TEXT,,bjDvmb4bfuf,,Programmes PR,No
[GC7/H-KRCS/CONDOMS-PROC/RESULT/COMMODITIES] Condoms Under Procurement,qVdByBFDHgv,GC7/H-KRCS/CONDOMS-PROC/RESULT/COMMODITIES,GC7/H-KRCS/CONDOMS-PROC/RESULT/COMMODITIES,Condoms Under Procurement,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,,Programmes PR,No
[GC7/H-KRCS/CONDOMS-SOR-D/RESULT/COMMODITIES] Condoms SOR Denominator,cR5gi2LHh9Q,GC7/H-KRCS/CONDOMS-SOR-D/RESULT/COMMODITIES,GC7/H-KRCS/CONDOMS-SOR-D/RESULT/COMMODITIES,Condoms SOR Denominator,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,,Programmes PR,No
[GC7/H-KRCS/CONDOMS-SOR-N/RESULT/COMMODITIES] Condoms SOR Numerator,fM6QowAocHr,GC7/H-KRCS/CONDOMS-SOR-N/RESULT/COMMODITIES,GC7/H-KRCS/CONDOMS-SOR-N/RESULT/COMMODITIES,Condoms SOR Numerator,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,,Programmes PR,No
[GC7/H-KRCS/CUM_BUDGET/FINANCE] PR Cumulative Budget,OtZHSRbaSPo,GC7/H-KRCS/CUM_BUDGET/FINANCE,GC7/H-KRCS/CUM_BUDGET/FINANCE,PR Cumulative Budget,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,,Programmes PR,No
[GC7/H-KRCS/CUM_EXP_PR/FINANCE] PR Cumulative Funds Expensed by PR,Cr0s5ElP4R3,GC7/H-KRCS/CUM_EXP_PR/FINANCE,GC7/H-KRCS/CUM_EXP_PR/FINANCE,PR Cumulative Funds Expensed by PR,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,,Programmes PR,No
[GC7/H-KRCS/CUM_EXP_SR/FINANCE] PR Cumulative Funds Expensed by Sub Recipients,j8iPnSChenl,GC7/H-KRCS/CUM_EXP_SR/FINANCE,GC7/H-KRCS/CUM_EXP_SR/FINANCE,PR Cumulative Funds Expensed by Sub Recipients,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,,Programmes PR,No
[GC7/H-KRCS/CUM_FUNDS_DISB_PR/FINANCE] PR Cumulative Funds Disbursed to PR,AmPHSDGTjDn,GC7/H-KRCS/CUM_FUNDS_DISB_PR/FINANCE,GC7/H-KRCS/CUM_FUNDS_DISB_PR/FINANCE,PR Cumulative Funds Disbursed to PR,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,,Programmes PR,No
[GC7/H-KRCS/CUM_FUNDS_DISB_SR/FINANCE] PR Cumulative Funds Disbursed to Sub Recipients,mGNEe6VjWR5,GC7/H-KRCS/CUM_FUNDS_DISB_SR/FINANCE,GC7/H-KRCS/CUM_FUNDS_DISB_SR/FINANCE,PR Cumulative Funds Disbursed to Sub Recipients,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,,Programmes PR,No
